date,kcals,steps,km
2016-11-06 00:00:00+00:00,,6604.0,3.87
2016-11-07 00:00:00+00:00,,4248.0,3.0
2016-11-08 00:00:00+00:00,,4754.0,2.95
2016-11-09 00:00:00+00:00,,3557.0,2.19
2016-11-10 00:00:00+00:00,,7188.0,4.87
2016-11-11 00:00:00+00:00,,1447.0,0.939
2016-11-12 00:00:00+00:00,,3474.0,2.15
2016-11-13 00:00:00+00:00,,8181.0,6.12
2016-11-14 00:00:00+00:00,,2047.0,1.45
2016-11-15 00:00:00+00:00,,4431.0,3.38
2016-11-16 00:00:00+00:00,,2118.0,1.48
2016-11-17 00:00:00+00:00,,8934.0,5.92
2016-11-18 00:00:00+00:00,,4781.0,3.47
2016-11-19 00:00:00+00:00,,2296.0,1.38
2016-11-20 00:00:00+00:00,,9152.0,6.05
2016-11-21 00:00:00+00:00,,5359.0,3.44
2016-11-22 00:00:00+00:00,,5798.0,3.72
2016-11-23 00:00:00+00:00,,1186.0,0.683
2016-11-24 00:00:00+00:00,,7674.0,4.98
2016-11-25 00:00:00+00:00,,1901.0,1.13
2016-11-26 00:00:00+00:00,,1902.0,0.956
2016-11-27 00:00:00+00:00,,386.0,0.239
2016-11-28 00:00:00+00:00,,2096.0,1.34
2016-11-29 00:00:00+00:00,,7053.0,5.13
2016-11-30 00:00:00+00:00,,2851.0,2.1
2016-12-01 00:00:00+00:00,,5871.0,3.72
2016-12-02 00:00:00+00:00,,4387.0,3.0
2016-12-03 00:00:00+00:00,,3072.0,1.95
2016-12-04 00:00:00+00:00,,9333.0,7.26
2016-12-05 00:00:00+00:00,,3307.0,2.07
2016-12-06 00:00:00+00:00,,3729.0,2.46
2016-12-07 00:00:00+00:00,,1576.0,1.03
2016-12-08 00:00:00+00:00,,4020.0,2.47
2016-12-09 00:00:00+00:00,,11063.0,8.6
2016-12-10 00:00:00+00:00,,2903.0,1.87
2016-12-11 00:00:00+00:00,,1889.0,1.24
2016-12-12 00:00:00+00:00,,4011.0,3.17
2016-12-13 00:00:00+00:00,,3957.0,2.99
2016-12-14 00:00:00+00:00,,2392.0,1.48
2016-12-15 00:00:00+00:00,,5799.0,4.28
2016-12-16 00:00:00+00:00,,3312.0,2.12
2016-12-17 00:00:00+00:00,,524.0,0.296
2016-12-18 00:00:00+00:00,,15008.0,11.74
2016-12-19 00:00:00+00:00,,7890.0,5.37
2016-12-20 00:00:00+00:00,,3583.0,2.57
2016-12-21 00:00:00+00:00,,1458.0,0.791
2016-12-22 00:00:00+00:00,,8083.0,6.07
2016-12-23 00:00:00+00:00,,6381.0,4.66
2016-12-24 00:00:00+00:00,,3271.0,1.94
2016-12-25 00:00:00+00:00,,2171.0,1.27
2016-12-26 00:00:00+00:00,,1207.0,0.652
2016-12-27 00:00:00+00:00,,2035.0,1.16
2016-12-28 00:00:00+00:00,,445.51,0.231
2016-12-29 00:00:00+00:00,,3635.0,2.15
2016-12-30 00:00:00+00:00,,2060.0,1.21
2016-12-31 00:00:00+00:00,,1185.0,0.636
2017-01-01 00:00:00+00:00,,3656.0,2.63
2017-01-02 00:00:00+00:00,,3467.0,2.4
2017-01-03 00:00:00+00:00,,1415.0,1.08
2017-01-04 00:00:00+00:00,,7679.0,6.08
2017-01-05 00:00:00+00:00,,3727.0,2.94
2017-01-06 00:00:00+00:00,,5875.0,3.84
2017-01-07 00:00:00+00:00,,3474.0,2.19
2017-01-08 00:00:00+00:00,,1769.0,1.06
2017-01-09 00:00:00+00:00,,2035.0,1.51
2017-01-10 00:00:00+00:00,,6663.0,4.78
2017-01-11 00:00:00+00:00,,707.97,0.513
2017-01-12 00:00:00+00:00,,4559.0,3.24
2017-01-13 00:00:00+00:00,,4617.0,2.99
2017-01-14 00:00:00+00:00,,3433.0,2.58
2017-01-15 00:00:00+00:00,,5841.0,3.85
2017-01-16 00:00:00+00:00,,10656.0,22.47
2017-01-17 00:00:00+00:00,,3297.0,2.27
2017-01-18 00:00:00+00:00,,10005.0,10.28
2017-01-19 00:00:00+00:00,,3558.0,2.69
2017-01-20 00:00:00+00:00,,8094.0,6.22
2017-01-21 00:00:00+00:00,,4627.0,3.77
2017-01-22 00:00:00+00:00,,549.0,0.328
2017-01-23 00:00:00+00:00,,665.68,0.422
2017-01-24 00:00:00+00:00,,19365.0,16.71
2017-01-25 00:00:00+00:00,,5918.0,5.07
2017-01-26 00:00:00+00:00,,7335.0,5.12
2017-01-27 00:00:00+00:00,,5117.0,3.39
2017-01-28 00:00:00+00:00,,6591.0,4.37
2017-01-29 00:00:00+00:00,,6653.0,4.29
2017-01-30 00:00:00+00:00,,4189.0,2.6
2017-01-31 00:00:00+00:00,,5218.0,3.42
2017-02-01 00:00:00+00:00,,19158.0,18.82
2017-02-02 00:00:00+00:00,,5353.0,4.41
2017-02-03 00:00:00+00:00,,1744.0,1.08
2017-02-04 00:00:00+00:00,,11054.0,16.68
2017-02-05 00:00:00+00:00,,7757.0,5.26
2017-02-06 00:00:00+00:00,,5479.0,4.16
2017-02-07 00:00:00+00:00,,6005.0,4.55
2017-02-08 00:00:00+00:00,,6434.0,5.28
2017-02-09 00:00:00+00:00,,3810.0,3.12
2017-02-10 00:00:00+00:00,,14348.0,12.69
2017-02-11 00:00:00+00:00,,11766.0,10.16
2017-02-12 00:00:00+00:00,,1931.0,1.05
2017-02-13 00:00:00+00:00,,2672.0,5.41
2017-02-14 00:00:00+00:00,,4992.0,3.8
2017-02-15 00:00:00+00:00,,15867.0,15.87
2017-02-16 00:00:00+00:00,,5964.0,4.68
2017-02-17 00:00:00+00:00,,5331.0,4.09
2017-02-18 00:00:00+00:00,,4011.0,2.4
2017-02-19 00:00:00+00:00,,13371.0,11.32
2017-02-20 00:00:00+00:00,,1276.0,0.74
2017-02-21 00:00:00+00:00,,11768.0,10.04
2017-02-22 00:00:00+00:00,,9044.0,5.87
2017-02-23 00:00:00+00:00,,5609.0,3.72
2017-02-24 00:00:00+00:00,,16342.0,14.52
2017-02-25 00:00:00+00:00,,13015.0,9.34
2017-02-26 00:00:00+00:00,,5497.0,3.54
2017-02-27 00:00:00+00:00,,3564.0,2.55
2017-02-28 00:00:00+00:00,,4758.0,3.57
2017-03-01 00:00:00+00:00,,7971.0,6.12
2017-03-02 00:00:00+00:00,,12386.0,9.1
2017-03-03 00:00:00+00:00,,5935.0,4.06
2017-03-04 00:00:00+00:00,,9147.0,6.18
2017-03-05 00:00:00+00:00,,1771.0,11.15
2017-03-06 00:00:00+00:00,,2177.0,1.54
2017-03-07 00:00:00+00:00,,8306.0,7.04
2017-03-08 00:00:00+00:00,,5477.0,4.63
2017-03-09 00:00:00+00:00,,7505.0,5.48
2017-03-10 00:00:00+00:00,,10772.0,8.88
2017-03-11 00:00:00+00:00,,4577.0,2.91
2017-03-12 00:00:00+00:00,,6554.0,4.94
2017-03-13 00:00:00+00:00,,15140.0,23.33
2017-03-14 00:00:00+00:00,,8878.0,7.33
2017-03-15 00:00:00+00:00,,13388.0,11.02
2017-03-16 00:00:00+00:00,,8921.0,7.06
2017-03-17 00:00:00+00:00,,3362.0,2.39
2017-03-18 00:00:00+00:00,,4825.0,3.47
2017-03-19 00:00:00+00:00,,9374.0,5.8
2017-03-20 00:00:00+00:00,,11796.0,8.22
2017-03-21 00:00:00+00:00,,14469.0,15.26
2017-03-22 00:00:00+00:00,,10464.0,8.23
2017-03-23 00:00:00+00:00,,11398.0,10.36
2017-03-24 00:00:00+00:00,,4617.0,3.29
2017-03-25 00:00:00+00:00,,4130.0,2.61
2017-03-26 00:00:00+00:00,,314.0,0.142
2017-03-27 00:00:00+00:00,,19536.0,16.18
2017-03-28 00:00:00+00:00,,4770.0,3.39
2017-03-29 00:00:00+00:00,,17861.0,12.74
2017-03-30 00:00:00+00:00,,8598.0,6.74
2017-03-31 00:00:00+00:00,,8989.0,7.17
2017-04-01 00:00:00+00:00,,4391.0,3.43
2017-04-02 00:00:00+00:00,,13714.0,12.1
2017-04-03 00:00:00+00:00,,10275.0,7.41
2017-04-04 00:00:00+00:00,,10270.0,8.37
2017-04-05 00:00:00+00:00,,4768.0,3.73
2017-04-06 00:00:00+00:00,,6277.0,4.44
2017-04-07 00:00:00+00:00,,13381.0,10.48
2017-04-08 00:00:00+00:00,,2542.0,1.98
2017-04-09 00:00:00+00:00,,5912.0,3.79
2017-04-10 00:00:00+00:00,,3300.0,15.29
2017-04-11 00:00:00+00:00,,1159.0,0.861
2017-04-12 00:00:00+00:00,,15088.0,11.89
2017-04-13 00:00:00+00:00,,9569.0,5.88
2017-04-14 00:00:00+00:00,,1679.0,1.12
2017-04-15 00:00:00+00:00,,12718.0,9.7
2017-04-16 00:00:00+00:00,,9664.0,7.41
2017-04-17 00:00:00+00:00,,2170.0,1.25
2017-04-18 00:00:00+00:00,,2839.0,1.95
2017-04-19 00:00:00+00:00,,11809.0,8.35
2017-04-20 00:00:00+00:00,,7961.0,5.55
2017-04-21 00:00:00+00:00,,4920.0,3.47
2017-04-22 00:00:00+00:00,,4850.0,9.18
2017-04-23 00:00:00+00:00,,12453.0,9.56
2017-04-24 00:00:00+00:00,,2905.0,2.06
2017-04-25 00:00:00+00:00,,3205.0,2.25
2017-04-26 00:00:00+00:00,,8024.0,5.85
2017-04-27 00:00:00+00:00,,8055.0,6.4
2017-04-28 00:00:00+00:00,,12142.0,23.23
2017-04-29 00:00:00+00:00,,5456.0,3.81
2017-04-30 00:00:00+00:00,,6414.0,4.18
2017-05-01 00:00:00+00:00,,8222.0,5.97
